image,tag,ori_download_time,ori_create_container,ori_create_task,ori_run_task,download_image,speed,create_container,create_task,run_task,create_task_gap,,run_task_gap,,,,,,,,
ack-kms-plugin,v1.0.1.0-g66f73e3-aliyun,3014,727,342,21,1.6,(1.7KiB/s),1747,247,332,-95,-27.78%,311,1480.95%,ack-kms-plugin:v1.0.1.0-g66f73e3-aliyun,4.939,1.541,1.229,10.9,19.8,TRUE
agent,v1.13.1.21-g2c50771-aliyun,6499,5680,448,23,2,(3.8KiB/s),2273,203,274,-245,-54.69%,251,1091.30%,agent:v1.13.1.21-g2c50771-aliyun,11.543,4.687,3.27,45.5,80.1,TRUE
agent,v1.13.1.34-gc6c53f2-aliyun,4507,1417,585,22,1.6,(2.5KiB/s),1722,292,304,-293,-50.09%,282,1281.82%,agent:v1.13.1.34-gc6c53f2-aliyun,8.525,2.478,2.114,18.4,32.7,TRUE
aliyun-acr-credential-helper,v21.01.26.0-9ac7d9b-aliyun,23191,11188,249,22,1.8,(3.8KiB/s),1978,254,118,5,2.01%,96,436.36%,aliyun-acr-credential-helper:v21.01.26.0-9ac7d9b-aliyun,66.823,16.032,12.234,143.5,226.3,TRUE
aliyun-ingress-controller,v0.22.0.5-552e0db-aliyun,512,88,238,19,2,(4.7KiB/s),,,,-238,-100.00%,-19,-100.00%,aliyun-ingress-controller:v0.22.0.5-552e0db-aliyun,66.005,23.351,16.743,230.4,357.1,TRUE
aliyun-ingress-controller,v0.44.0.2-abf1c6fe4-aliyun,22411,19226,189,20,2,(7.5KiB/s),,,,-189,-100.00%,-20,-100.00%,aliyun-ingress-controller:v0.44.0.2-abf1c6fe4-aliyun,45.202,18.228,11.668,189.1,302.5,TRUE
aliyun-ingress-controller,v0.44.0.3-8e83e7dc6-aliyun,22772,19564,179,16,1.9,(8.1KiB/s),,,,-179,-100.00%,-16,-100.00%,aliyun-ingress-controller:v0.44.0.3-8e83e7dc6-aliyun,52.364,17.403,11.82,185.7,297.4,TRUE
appcenter,v1.0.1.4-4b865dd99-aliyun,55576,38114,165,20,2,(7.3KiB/s),643,167,22,2,1.21%,2,10.00%,appcenter:v1.0.1.4-4b865dd99-aliyun,64.41,36.988,24.448,429.5,670.5,TRUE
arena-deploy-manager,0.8.6-a2bec8c-aliyun,11065,5629,205,20,1.4,(3.3KiB/s),1877,542,244,337,164.39%,224,1120.00%,arena-deploy-manager:0.8.6-a2bec8c-aliyun,20.42,6.275,4.756,54.6,90.1,TRUE
autoscaler,v1.3.1-9dc045bde-aliyun,7444,2633,253,21,1.6,(2.5KiB/s),2126,701,126,448,177.08%,105,500.00%,autoscaler:v1.3.1-9dc045bde-aliyun,12.833,5.338,3.571,48.3,81.7,TRUE
autoscaler,v1.3.1-ccdb37823-aliyun,8386,3828,352,21,1.5,(2.7KiB/s),1766,599,126,247,70.17%,105,500.00%,autoscaler:v1.3.1-ccdb37823-aliyun,14.964,5.639,4.187,48.3,81.7,TRUE
busybox,v1.29.2,1410,434,198,14,1.3,(899.0B/s),1373,310,17,112,56.57%,3,21.43%,busybox:v1.29.2,2.614,0.71,0.51,0.679882813,5.5,TRUE
check-hosts,480c740a4,4765,1336,226,21,1.7,(2.5KiB/s),1799,744,181,518,229.20%,160,761.90%,check-hosts:480c740a4,8.903,2.893,2.08,14.5,31.8,TRUE
cloud-controller-manager-amd64,v1.9.3.380-gd6d0962-aliyun,5705,1085,329,14,1.6,(2.1KiB/s),2373,287,124,-42,-12.77%,110,785.71%,cloud-controller-manager-amd64:v1.9.3.380-gd6d0962-aliyun,9.703,2.874,2.423,24.8,40.5,TRUE
coredns,v1.7.0.0-f59c03d-aliyun,,,,,1.7,(1.6KiB/s),1819,188,20,188,#DIV/0!,20,#DIV/0!,coredns:v1.7.0.0-f59c03d-aliyun,6.608,1.978,1.571,12.3,26.1,TRUE
csi-attacher,v2.1.0,4042,976,177,20,1.4,(2.0KiB/s),1437,675,220,498,281.36%,200,1000.00%,csi-attacher:v2.1.0,9.155,2.396,2.169,17.6,30.9,TRUE
csi-node-driver-registrar,v1.2.0,2489,636,299,19,1.7,(963.0B/s),1673,265,186,-34,-11.37%,167,878.95%,csi-node-driver-registrar:v1.2.0,4.35,1.366,1.144,7.3,15.3,TRUE
csi-provisioner,v1.6.0-e360c7e43-aliyun,4921,2888,312,23,1.6,(2.2KiB/s),1607,332,273,20,6.41%,250,1086.96%,csi-provisioner:v1.6.0-e360c7e43-aliyun,9.312,3.753,2.75,35.4,57.1,TRUE
csi-resizer,v0.3.0,3543,1010,215,31,1.5,(1.1KiB/s),1777,228,364,13,6.05%,333,1074.19%,csi-resizer:v0.3.0,6.763,2.436,1.92,16.5,29.7,TRUE
